s,sLabel,freebaseID
http://www.wikidata.org/entity/Q1572875,Oneida,/m/02wz7j
http://www.wikidata.org/entity/Q1672477,عرب ازد,/m/04nrnz
http://www.wikidata.org/entity/Q1815623,Sri Lankan Tamils,/m/0bhsnb
http://www.wikidata.org/entity/Q1945786,Chinese Indonesians,/m/0152wh
http://www.wikidata.org/entity/Q2257191,Italian Australians,/m/08v2k7
http://www.wikidata.org/entity/Q2325516,Armenian Americans,/m/0btrm4
http://www.wikidata.org/entity/Q2722871,British Asians,/m/05sycg
http://www.wikidata.org/entity/Q2849692,Anglo-Irish people,/m/0152s7
http://www.wikidata.org/entity/Q2935829,English Canadians,/m/02cm28
http://www.wikidata.org/entity/Q3094841,Welsh Americans,/m/0bfjm7
http://www.wikidata.org/entity/Q3520262,Ezhava,/m/048sp5
http://www.wikidata.org/entity/Q3521909,Bunt (RAJPUT),/m/075_n6
http://www.wikidata.org/entity/Q3803351,Filipino people of Spanish ancestry,/m/09chmw
http://www.wikidata.org/entity/Q4065203,English Australian,/m/03cbkrf
http://www.wikidata.org/entity/Q4713742,Hmong Americans,/m/0738n4
http://www.wikidata.org/entity/Q5094202,Chettiar,/m/032m0b
http://www.wikidata.org/entity/Q5187097,Croatian Canadians,/m/067lwk
http://www.wikidata.org/entity/Q5187093,Croatian Australians,/m/09fqz7
http://www.wikidata.org/entity/Q5290725,Dominican Americans,/m/0912ll
http://www.wikidata.org/entity/Q5639720,Haitian Americans,/m/02vkd28
http://www.wikidata.org/entity/Q6529576,Bihari people,/m/0cm7w1
http://www.wikidata.org/entity/Q6510842,Lebanese Americans,/m/0g48m4
http://www.wikidata.org/entity/Q7144694,Pathani,/m/0462jl6
http://www.wikidata.org/entity/Q7406487,Salvadoran Americans,/m/02rdfpy
http://www.wikidata.org/entity/Q7429945,Scandinavian Americans,/m/0cnvdq1
http://www.wikidata.org/entity/Q7511479,Sierra Leoneans in the United Kingdom,/m/04csgrq
http://www.wikidata.org/entity/Q7681244,Tamil Brahmin,/m/0cmdl5l
http://www.wikidata.org/entity/Q11685635,Bolivian American,/m/02wcbj_
http://www.wikidata.org/entity/Q12352241,Mangaloreans,/m/0520604
http://www.wikidata.org/entity/Q45321045,Tejano,/m/0166vx
http://www.wikidata.org/entity/Q7325,Jewish people,/m/041rx
http://www.wikidata.org/entity/Q36747,Indigenous peoples of the Americas,/m/0432mrk
http://www.wikidata.org/entity/Q35323,Arabs,/m/0xff
http://www.wikidata.org/entity/Q47740,Muslim,/m/04y29
http://www.wikidata.org/entity/Q49297,Native Americans in the United States,/m/059_w
http://www.wikidata.org/entity/Q49078,White Americans,/m/07hwkr
